,Image.Identity,Interphase,Prophase,Prometaphase,Metaphase,Anaphase,Telophase,Number.of.dividing.cells.to.look.for:
1,Image 1,20,0,0,1,1,0,2
2,Image 2,23,0,0,1,0,0,1
3,Image 3,24,1,1,0,0,2,4
4,Image 4,23,0,2,0,1,0,3
5,Image 5,21,1,0,0,0,0,1
6,Image 6,28,0,2,1,1,0,4
7,Image 7,24,0,0,0,1,0,1
8,Image 8,22,0,1,0,0,0,1
9,Image 9,9,1,0,0,0,0,1
10,Image 10,15,1,0,0,0,0,1
11,Image 11,22,0,0,0,0,1,1
12,Image 12,19,1,1,0,0,0,2
13,Image 13,26,0,0,1,1,0,2
14,Image 14,24,1,0,0,1,0,2
15,Image 15,18,0,3,1,0,0,4
16,Image 16,19,2,1,0,0,0,3
17,Image 17,34,1,0,0,0,1,2
18,Image 18,30,1,1,2,1,0,5
19,Image 19,22,1,0,0,0,0,1
20,Image 20,30,1,1,1,0,0,3
21,Image 21,26,1,1,0,0,0,2
22,Image 22,20,0,0,1,1,0,2
23,Image 23,16,1,0,0,0,0,1
24,Image 24,20,2,1,1,1,0,5
25,Image 25,24,1,0,0,0,0,1
26,Image 26,21,1,1,0,0,0,2
27,Image 27,18,1,1,0,0,0,2
28,Image 28,28,0,1,0,0,0,1
29,Image 29,35,0,1,0,0,0,1
30,Image 30,24,0,1,0,0,0,1
31,Image 31,26,0,1,0,0,0,1
32,Image 32,28,0,1,0,0,0,1
33,Image 33,27,0,0,1,0,0,1
34,Image 34,16,0,1,0,0,0,1
35,Image 35,28,0,1,0,0,0,1
36,Image 36,18,2,0,0,0,0,2
37,Image 37,21,0,1,0,0,1,2
38,Image 38,15,0,0,1,1,0,2
39,Image 39,10,0,0,1,1,1,3
40,Image 40,22,1,0,0,1,0,2
41,Image 41,17,0,1,0,0,0,1
42,Image 42,16,1,0,0,0,0,1
43,Image 43,41,1,0,0,0,0,1
44,Image 44,24,0,1,0,0,0,1
45,Image 45,27,0,1,0,0,0,1
46,Image 46,28,0,0,1,0,0,1
47,Image 47,44,0,1,0,0,0,1
48,Image 48,26,0,1,0,0,0,1
49,Image 49,21,0,1,0,0,0,1
50,Image 50,19,0,0,0,1,0,1
