,Image.Identity,Interphase,Prophase,Prometaphase,Metaphase,Anaphase,Telophase,Number.of.dividing.cells.to.look.for:
1,Image 1,17,0,0,2,0,0,2
2,Image 2,19,0,0,1,0,0,1
3,Image 3,25,0,3,0,1,0,4
4,Image 4,19,0,2,0,0,1,3
5,Image 5,15,1,0,0,0,0,1
6,Image 6,20,0,2,1,1,0,4
7,Image 7,15,0,0,0,1,0,1
8,Image 8,17,0,1,0,0,0,1
9,Image 9,6,1,0,0,0,0,1
10,Image 10,15,1,0,0,0,0,1
11,Image 11,14,0,0,0,1,0,1
12,Image 12,20,1,0,1,0,0,2
13,Image 13,22,0,0,1,1,0,2
14,Image 14,20,1,0,0,0,1,2
15,Image 15,22,2,1,1,0,0,4
16,Image 16,22,2,1,0,0,0,3
17,Image 17,30,0,1,0,0,1,2
18,Image 18,29,1,1,2,1,0,5
19,Image 19,27,1,0,0,0,0,1
20,Image 20,31,1,1,1,0,0,3
21,Image 21,25,0,0,1,1,0,2
22,Image 22,18,0,0,1,1,0,2
23,Image 23,13,1,0,0,0,0,1
24,Image 24,20,2,0,2,1,0,5
25,Image 25,26,1,0,0,0,0,1
26,Image 26,28,2,0,0,0,0,2
27,Image 27,16,0,1,1,0,0,2
28,Image 28,27,0,1,0,0,0,1
29,Image 29,30,0,1,0,0,0,1
30,Image 30,21,0,1,0,0,0,1
31,Image 31,24,0,1,0,0,0,1
32,Image 32,27,0,0,1,0,0,1
33,Image 33,25,0,0,1,0,0,1
34,Image 34,15,0,1,0,0,0,1
35,Image 35,23,0,1,0,0,0,1
36,Image 36,13,2,0,0,0,0,2
37,Image 37,18,0,1,0,0,1,2
38,Image 38,15,0,0,1,0,1,2
39,Image 39,12,0,0,1,1,1,3
40,Image 40,20,1,0,0,1,0,2
41,Image 41,13,0,1,0,0,0,1
42,Image 42,13,1,0,0,0,0,1
43,Image 43,41,0,1,0,0,0,1
44,Image 44,19,0,1,0,0,0,1
45,Image 45,22,0,0,1,0,0,1
46,Image 46,24,0,0,1,0,0,1
47,Image 47,34,0,1,0,0,0,1
48,Image 48,21,0,0,1,0,0,1
49,Image 49,17,0,0,1,0,0,1
50,Image 50,16,0,0,1,0,0,1
