,Image.Identity,Interphase,Prophase,Prometaphase,Metaphase,Anaphase,Telophase,Number.of.dividing.cells.to.look.for:
1,Image 1,20,NA,1,1,NA,NA,2
2,Image 2,26,NA,NA,1,NA,NA,1
3,Image 3,30,2,NA,1,1,NA,4
4,Image 4,25,1,1,NA,NA,1,3
5,Image 5,21,1,NA,NA,NA,NA,1
6,Image 6,23,NA,2,1,NA,1,4
7,Image 7,20,NA,NA,NA,NA,1,1
8,Image 8,24,1,NA,NA,NA,NA,1
9,Image 9,9,1,NA,NA,NA,NA,1
10,Image 10,17,NA,1,NA,NA,NA,1
11,Image 11,21,NA,NA,NA,NA,1,1
12,Image 12,23,NA,1,NA,NA,1,2
13,Image 13,26,NA,1,NA,1,NA,2
14,Image 14,27,NA,1,NA,NA,1,2
15,Image 15,21,1,1,1,NA,1,4
16,Image 16,25,1,1,1,NA,NA,3
17,Image 17,33,NA,1,NA,NA,1,2
18,Image 18,28,1,1,2,NA,1,5
19,Image 19,27,1,NA,NA,NA,NA,1
20,Image 20,47,NA,2,1,NA,NA,3
21,Image 21,29,NA,NA,1,1,NA,2
22,Image 22,19,NA,1,NA,1,NA,2
23,Image 23,19,1,NA,NA,NA,NA,1
24,Image 24,21,2,1,1,NA,1,5
25,Image 25,33,NA,1,NA,NA,NA,1
26,Image 26,32,2,NA,NA,NA,NA,2
27,Image 27,21,NA,1,1,NA,NA,2
28,Image 28,30,NA,1,NA,NA,NA,1
29,Image 29,39,NA,1,NA,NA,NA,1
30,Image 30,29,NA,1,NA,NA,NA,1
31,Image 31,29,NA,NA,NA,1,NA,1
32,Image 32,30,NA,1,NA,NA,NA,1
33,Image 33,30,NA,NA,1,NA,NA,1
34,Image 34,17,NA,1,NA,NA,NA,1
35,Image 35,27,1,NA,NA,NA,NA,1
36,Image 36,17,1,NA,NA,NA,1,2
37,Image 37,21,NA,2,NA,NA,NA,2
38,Image 38,18,1,NA,1,NA,NA,2
39,Image 39,16,1,1,NA,1,NA,3
40,Image 40,21,1,NA,NA,1,NA,2
41,Image 41,18,NA,1,NA,NA,NA,1
42,Image 42,18,1,NA,NA,NA,NA,1
43,Image 43,50,NA,1,NA,NA,NA,1
44,Image 44,23,NA,1,NA,NA,NA,1
45,Image 45,28,NA,NA,1,NA,NA,1
46,Image 46,28,NA,NA,1,NA,NA,1
47,Image 47,35,1,NA,NA,NA,NA,1
48,Image 48,29,NA,1,NA,NA,NA,1
49,Image 49,20,NA,1,NA,NA,NA,1
50,Image 50,15,NA,1,NA,NA,NA,1
