,Image.Identity,Interphase,Prophase,Prometaphase,Metaphase,Anaphase,Telophase,Number.of.dividing.cells.to.look.for:
1,Image 1,17,NA,NA,1,NA,1,2
2,Image 2,18,NA,1,NA,NA,NA,1
3,Image 3,25,1,1,NA,1,1,4
4,Image 4,19,NA,1,1,NA,1,3
5,Image 5,16,1,NA,NA,NA,NA,1
6,Image 6,23,NA,3,NA,NA,1,4
7,Image 7,16,NA,NA,NA,1,NA,1
8,Image 8,19,1,NA,NA,NA,NA,1
9,Image 9,6,1,NA,NA,NA,NA,1
10,Image 10,15,NA,NA,NA,NA,1,1
11,Image 11,14,NA,NA,NA,1,NA,1
12,Image 12,20,1,1,NA,NA,NA,2
13,Image 13,20,NA,NA,1,1,NA,2
14,Image 14,24,1,NA,NA,NA,1,2
15,Image 15,25,1,1,1,NA,1,4
16,Image 16,24,1,2,NA,NA,NA,3
17,Image 17,31,NA,1,NA,NA,1,2
18,Image 18,30,1,NA,3,1,NA,5
19,Image 19,28,1,NA,NA,NA,NA,1
20,Image 20,47,NA,NA,2,NA,1,3
21,Image 21,28,NA,NA,1,1,NA,2
22,Image 22,20,NA,NA,1,1,NA,2
23,Image 23,14,1,NA,NA,NA,NA,1
24,Image 24,19,2,NA,2,1,NA,5
25,Image 25,27,1,NA,NA,NA,NA,1
26,Image 26,30,2,NA,NA,NA,NA,2
27,Image 27,15,NA,1,1,NA,NA,2
28,Image 28,29,NA,NA,1,NA,NA,1
29,Image 29,30,NA,NA,1,NA,NA,1
30,Image 30,21,NA,1,NA,NA,NA,1
31,Image 31,25,NA,NA,1,NA,NA,1
32,Image 32,25,NA,NA,1,NA,NA,1
33,Image 33,26,NA,NA,1,NA,NA,1
34,Image 34,15,NA,1,NA,NA,NA,1
35,Image 35,24,NA,1,NA,NA,NA,1
36,Image 36,14,NA,1,NA,NA,1,2
37,Image 37,17,NA,1,NA,NA,1,2
38,Image 38,14,NA,NA,1,1,NA,2
39,Image 39,12,NA,NA,1,1,1,3
40,Image 40,21,1,NA,NA,1,NA,2
41,Image 41,14,NA,NA,NA,NA,1,1
42,Image 42,13,NA,NA,NA,NA,1,1
43,Image 43,45,NA,1,NA,NA,NA,1
44,Image 44,21,NA,NA,1,NA,NA,1
45,Image 45,22,NA,NA,1,NA,NA,1
46,Image 46,26,NA,NA,1,NA,NA,1
47,Image 47,36,NA,1,NA,NA,NA,1
48,Image 48,22,NA,NA,1,NA,NA,1
49,Image 49,17,NA,NA,1,NA,NA,1
50,Image 50,16,NA,NA,1,NA,NA,1
