,Image.Identity,Interphase,Prophase,Prometaphase,Metaphase,Anaphase,Telophase,Number.of.dividing.cells.to.look.for:
1,Image 1,24,NA,NA,1,1,NA,2
2,Image 2,24,NA,NA,1,NA,NA,1
3,Image 3,30,3,NA,NA,1,NA,4
4,Image 4,27,NA,1,1,NA,1,3
5,Image 5,20,NA,1,NA,NA,NA,1
6,Image 6,17,NA,2,NA,1,1,4
7,Image 7,22,NA,NA,NA,1,NA,1
8,Image 8,21,NA,1,NA,NA,NA,1
9,Image 9,7,1,NA,NA,NA,NA,1
10,Image 10,18,1,NA,NA,NA,NA,1
11,Image 11,22,NA,1,NA,NA,NA,1
12,Image 12,23,1,1,NA,NA,NA,2
13,Image 13,25,NA,1,NA,NA,1,2
14,Image 14,24,NA,1,NA,NA,1,2
15,Image 15,23,3,NA,1,NA,NA,4
16,Image 16,25,1,2,NA,NA,NA,3
17,Image 17,30,NA,NA,1,NA,1,2
18,Image 18,32,NA,1,3,NA,1,5
19,Image 19,30,1,NA,NA,NA,NA,1
20,Image 20,45,NA,2,1,NA,NA,3
21,Image 21,32,NA,NA,1,1,NA,2
22,Image 22,20,NA,NA,1,1,NA,2
23,Image 23,17,1,NA,NA,NA,NA,1
24,Image 24,21,2,NA,2,1,NA,5
25,Image 25,32,1,NA,NA,NA,NA,1
26,Image 26,29,1,1,NA,NA,NA,2
27,Image 27,19,NA,1,1,NA,NA,2
28,Image 28,30,NA,NA,1,NA,NA,1
29,Image 29,34,NA,NA,1,NA,NA,1
30,Image 30,22,NA,1,NA,NA,NA,1
31,Image 31,29,NA,NA,NA,1,NA,1
32,Image 32,27,NA,NA,1,NA,NA,1
33,Image 33,26,NA,NA,1,NA,NA,1
34,Image 34,16,NA,1,NA,NA,NA,1
35,Image 35,26,NA,1,NA,NA,NA,1
36,Image 36,20,1,1,NA,NA,NA,2
37,Image 37,22,1,NA,NA,NA,NA,2
38,Image 38,19,NA,NA,2,NA,NA,2
39,Image 39,16,NA,NA,1,1,1,3
40,Image 40,20,1,NA,1,NA,NA,2
41,Image 41,15,NA,NA,NA,NA,1,1
42,Image 42,18,NA,1,NA,NA,NA,1
43,Image 43,40,NA,1,NA,NA,NA,1
44,Image 44,27,NA,NA,1,NA,NA,1
45,Image 45,26,NA,NA,1,NA,NA,1
46,Image 46,29,NA,1,NA,NA,NA,1
47,Image 47,35,NA,1,NA,NA,NA,1
48,Image 48,20,NA,NA,1,NA,NA,1
49,Image 49,22,NA,1,NA,NA,NA,1
50,Image 50,17,NA,NA,1,NA,NA,1
