,Image.Identity,Interphase,Prophase,Prometaphase,Metaphase,Anaphase,Telophase,Number.of.dividing.cells.to.look.for:
1,Image 1,20,NA,2,NA,NA,NA,2
2,Image 2,28,NA,NA,1,NA,NA,1
3,Image 3,33,1,1,NA,1,1,4
4,Image 4,32,NA,1,1,1,NA,3
5,Image 5,19,1,NA,NA,NA,NA,1
6,Image 6,25,NA,2,1,NA,1,4
7,Image 7,25,NA,NA,NA,1,NA,1
8,Image 8,27,NA,1,NA,NA,NA,1
9,Image 9,8,1,NA,NA,NA,NA,1
10,Image 10,18,NA,NA,NA,NA,1,1
11,Image 11,24,NA,NA,NA,1,NA,1
12,Image 12,24,1,NA,1,NA,NA,2
13,Image 13,25,NA,1,NA,NA,1,2
14,Image 14,28,1,NA,NA,NA,1,2
15,Image 15,27,2,1,1,NA,NA,4
16,Image 16,27,2,1,NA,NA,NA,3
17,Image 17,34,NA,1,NA,NA,1,2
18,Image 18,34,1,1,2,1,NA,5
19,Image 19,34,1,NA,NA,NA,NA,1
20,Image 20,31,NA,NA,2,NA,1,3
21,Image 21,29,NA,NA,1,1,NA,2
22,Image 22,28,NA,NA,1,1,NA,2
23,Image 23,17,1,NA,NA,NA,NA,1
24,Image 24,25,2,NA,2,1,NA,5
25,Image 25,28,1,NA,NA,NA,NA,1
26,Image 26,32,2,NA,NA,NA,NA,2
27,Image 27,20,NA,1,1,NA,NA,2
28,Image 28,33,NA,NA,1,NA,NA,1
29,Image 29,35,NA,NA,1,NA,NA,1
30,Image 30,24,NA,1,NA,NA,NA,1
31,Image 31,28,NA,1,NA,NA,NA,1
32,Image 32,28,NA,1,NA,NA,NA,1
33,Image 33,28,NA,NA,1,NA,NA,1
34,Image 34,16,NA,1,NA,NA,NA,1
35,Image 35,28,NA,1,NA,NA,NA,1
36,Image 36,19,1,NA,NA,NA,1,2
37,Image 37,22,1,NA,NA,NA,1,2
38,Image 38,17,NA,NA,1,1,NA,2
39,Image 39,16,NA,NA,1,1,1,3
40,Image 40,23,1,NA,NA,1,NA,2
41,Image 41,17,NA,1,NA,NA,NA,1
42,Image 42,13,NA,NA,NA,NA,1,1
43,Image 43,44,NA,1,NA,NA,NA,1
44,Image 44,25,NA,NA,1,NA,NA,1
45,Image 45,24,NA,NA,1,NA,NA,1
46,Image 46,27,NA,NA,1,NA,NA,1
47,Image 47,39,NA,1,NA,NA,NA,1
48,Image 48,24,NA,1,NA,NA,NA,1
49,Image 49,22,NA,NA,1,NA,NA,1
50,Image 50,19,NA,NA,1,NA,NA,1
